,Season,Round,Venue,Kick_Off_Time,Home_Team,Home_Score,Home_ELO,Home_Completion,Home_Tackle,Away_Team,Away_Score,Away_ELO,Away_Completion,Away_Tackle
58,2023,Round 8,Accor Stadium,2023-04-22,Bulldogs,20,854.6483103126088,75.0,89.07,Sharks,33,1095.940862139293,78.0,86.74
59,2023,Round 8,Queensland Country Bank Stadium,2023-04-22,Cowboys,18,966.1508410140642,81.0,85.19,Knights,16,860.9752624254396,66.0,91.62
60,2023,Round 8,Suncorp Stadium,2023-04-23,Dolphins,28,1022.9261350532519,82.0,82.09,Titans,26,883.6646765199333,82.0,85.13
61,2023,Round 8,Campbelltown Sports Stadium,2023-04-23,Wests Tigers,16,661.8029975258942,74.0,87.94,Sea Eagles,22,955.0745838353283,67.0,87.35
62,2023,Round 8,Allianz Stadium,2023-04-25,Roosters,27,1109.7553835916174,72.0,81.72,Dragons,26,933.6245996705946,76.0,82.63
63,2023,Round 8,AAMI Park,2023-04-25,Storm,30,1063.7238960368438,81.0,89.69,Warriors,22,919.028887141355,89.0,88.14
64,2023,Round 9,PointsBet Stadium,2023-04-27,Sharks,44,1106.9171457984849,82.0,89.74,Cowboys,6,985.5713551048965,79.0,87.75
65,2023,Round 9,CommBank Stadium,2023-04-28,Eels,43,1067.6347760086774,67.0,85.98,Knights,12,841.5547483346073,64.0,80.18
66,2023,Round 9,Suncorp Stadium,2023-04-28,Broncos,6,1115.7646237592696,73.0,88.89,Rabbitohs,32,1185.4691215724893,72.0,85.88
67,2023,Round 9,McDonalds Park,2023-04-29,Raiders,31,1064.5520775897833,90.0,89.13,Dolphins,30,1039.9580924433506,75.0,84.04
68,2023,Round 9,4 Pines Park,2023-04-29,Sea Eagles,10,963.6552321904601,79.0,89.81,Titans,26,866.6327191298345,75.0,90.88
69,2023,Round 9,Carrington Park,2023-04-29,Panthers,8,1239.2629658035542,78.0,89.82,Wests Tigers,12,653.2223491707624,90.0,91.21
70,2023,Round 9,Go Media Stadium,2023-04-30,Warriors,0,902.3624795528495,73.0,90.13,Roosters,14,1124.3974398402947,76.0,90.11
71,2023,Round 9,WIN Stadium,2023-04-30,Dragons,16,918.9825434219173,82.0,86.63,Bulldogs,18,843.6720266534169,72.0,82.63
72,2023,Round 10,Suncorp Stadium,2023-05-05,Bulldogs,30,877.0413196903311,72.0,86.65,Raiders,34,1090.1086750870159,82.0,88.05
73,2023,Round 10,Suncorp Stadium,2023-05-05,Sea Eagles,6,928.6693527814389,65.0,87.93,Broncos,32,1093.7089787071832,79.0,88.44
